Issue,Severity,Areas,Filename,Assembly,Descriptor,Ignored
"'UnityEngine.Object.Instantiate<UnityEngine.GameObject>' usage","Moderate","CPU, Memory","City.cs:165","Assembly-CSharp","UnityEngine.Object.Instantiate","False"
"'System.String.Concat' usage","Info","Memory","City.cs:246","Assembly-CSharp","System.String.Concat","False"
"'UnityEngine.Object.Instantiate<UnityEngine.GameObject>' usage","Moderate","CPU, Memory","City.cs:258","Assembly-CSharp","UnityEngine.Object.Instantiate","False"
"'System.Collections.Generic.List`1<Unit>' allocation","Info","Memory","City.cs:17","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.List`1<Building>' allocation","Info","Memory","City.cs:18","Assembly-CSharp","Object Allocation","False"
"'UnityEngine.Object.Instantiate<UnityEngine.GameObject>' usage","Moderate","CPU, Memory","FogOfWarManager.cs:18","Assembly-CSharp","UnityEngine.Object.Instantiate","False"
"'VisibilityState' allocation","Info","Memory","FogOfWarManager.cs:26","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.Dictionary`2<UnityEngine.Vector2Int,UnityEngine.GameObject>' allocation","Info","Memory","FogOfWarManager.cs:9","Assembly-CSharp","Object Allocation","False"
"'UnityEngine.Object.Instantiate<UnityEngine.GameObject>' usage","Moderate","CPU, Memory","GridGenerator.cs:55","Assembly-CSharp","UnityEngine.Object.Instantiate","False"
"Conversion from value type 'Int32' to ref type","Moderate","Memory","GridGenerator.cs:56","Assembly-CSharp","Boxing Allocation","False"
"Conversion from value type 'Int32' to ref type","Moderate","Memory","GridGenerator.cs:56","Assembly-CSharp","Boxing Allocation","False"
"'UnityEngine.GameObject.AddComponent<Tile>' usage","Moderate","CPU, Memory","GridGenerator.cs:59","Assembly-CSharp","UnityEngine.GameObject.AddComponent","False"
"'System.Collections.Generic.List`1<Tile>' allocation","Moderate","Memory","GridManager.cs:22","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.Dictionary`2<UnityEngine.Vector2Int,Tile>' allocation","Info","Memory","GridManager.cs:7","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.HashSet`1<TechData>' allocation","Info","Memory","PlayerTechState.cs:7","Assembly-CSharp","Object Allocation","False"
"Closure allocation in 'TerritoryBorderManager.RebuildBorder'","Info","Memory","TerritoryBorderRenderer.cs:0","Assembly-CSharp","Closure Allocation","False"
"'System.Func`2<Tile,System.Boolean>' allocation","Info","Memory","TerritoryBorderRenderer.cs:44","Assembly-CSharp","Object Allocation","False"
"'System.Linq.Enumerable.Where' usage","Moderate","CPU, Memory","TerritoryBorderRenderer.cs:44","Assembly-CSharp","System.Linq.*","False"
"'System.Linq.Enumerable.ToList' usage","Moderate","CPU, Memory","TerritoryBorderRenderer.cs:44","Assembly-CSharp","System.Linq.*","False"
"'System.Collections.Generic.HashSet`1<Tile>' allocation","Info","Memory","TerritoryBorderRenderer.cs:59","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.List`1<System.ValueTuple`2<UnityEngine.Vector3,UnityEngine.Vector3>>' allocation","Info","Memory","TerritoryBorderRenderer.cs:84","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.List`1<System.ValueTuple`2<UnityEngine.Vector3,UnityEngine.Vector3>>' allocation","Info","Memory","TerritoryBorderRenderer.cs:116","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.List`1<System.Collections.Generic.List`1<UnityEngine.Vector3>>' allocation","Info","Memory","TerritoryBorderRenderer.cs:117","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.List`1<UnityEngine.Vector3>' allocation","Info","Memory","TerritoryBorderRenderer.cs:121","Assembly-CSharp","Object Allocation","False"
"'UnityEngine.GameObject' allocation","Info","Memory","TerritoryBorderRenderer.cs:160","Assembly-CSharp","Object Allocation","False"
"'UnityEngine.GameObject.AddComponent<UnityEngine.LineRenderer>' usage","Moderate","CPU, Memory","TerritoryBorderRenderer.cs:163","Assembly-CSharp","UnityEngine.GameObject.AddComponent","False"
"'System.Func`2<UnityEngine.Vector3,UnityEngine.Vector3>' allocation","Info","Memory","TerritoryBorderRenderer.cs:175","Assembly-CSharp","Object Allocation","False"
"'System.Linq.Enumerable.Select' usage","Moderate","CPU, Memory","TerritoryBorderRenderer.cs:175","Assembly-CSharp","System.Linq.*","False"
"'System.Linq.Enumerable.ToArray' usage","Moderate","CPU, Memory","TerritoryBorderRenderer.cs:175","Assembly-CSharp","System.Linq.*","False"
"'System.Collections.Generic.List`1<UnityEngine.LineRenderer>' allocation","Info","Memory","TerritoryBorderRenderer.cs:181","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.Dictionary`2<System.Object,System.Collections.Generic.List`1<UnityEngine.LineRenderer>>' allocation","Info","Memory","TerritoryBorderRenderer.cs:18","Assembly-CSharp","Object Allocation","False"
